Release 8.1i - Fit P.68d
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 1-14-2016 11:26AM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  control.ngd
output file: control_pad.csv
Part type:   xc95144xl
Speed grade: -10
Package:     tq100

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P38,VCC,,VCCIO,,,,,,,,,,
P39,AS30,O,I/O,OUTPUT,,,,,,,,,
P40,STERM30,I,I/O,INPUT,,,,,,,,,
P41,TIE,,I/O,,,,,,,,,,
P42,RW30,O,I/O,OUTPUT,,,,,,,,,
P43,SIZ30<1>,O,I/O,OUTPUT,,,,,,,,,
P44,GND,,GND,,,,,,,,,,
P45,TDI,,TDI,,,,,,,,,,
P46,DS30,O,I/O,OUTPUT,,,,,,,,,
P47,TMS,,TMS,,,,,,,,,,
P48,TCK,,TCK,,,,,,,,,,
P49,SIZ30<0>,O,I/O,OUTPUT,,,,,,,,,
P50,TIE,,I/O,,,,,,,,,,
P51,VCC,,VCCIO,,,,,,,,,,
P52,PLL_S<1>,O,I/O,OUTPUT,,,,,,,,,
P53,PLL_S<0>,O,I/O,OUTPUT,,,,,,,,,
P54,TM40<1>,I,I/O,INPUT,,,,,,,,,
P55,TM40<0>,I,I/O,INPUT,,,,,,,,,
P56,BR40,I,I/O,INPUT,,,,,,,,,
P57,VCC,,VCCINT,,,,,,,,,,
P58,TIE,,I/O,,,,,,,,,,
P59,BG40,O,I/O,OUTPUT,,,,,,,,,
P60,SIZ40<0>,I,I/O,INPUT,,,,,,,,,
P61,SIZ40<1>,I,I/O,INPUT,,,,,,,,,
P62,GND,,GND,,,,,,,,,,
P63,BB40,I,I/O,INPUT,,,,,,,,,
P64,RW40,I,I/O,INPUT,,,,,,,,,
P65,TIE,,I/O,,,,,,,,,,
P66,TM40<2>,I,I/O,INPUT,,,,,,,,,
P67,LOCK40,I,I/O,INPUT,,,,,,,,,
P68,TS40,I,I/O,INPUT,,,,,,,,,
P69,GND,,GND,,,,,,,,,,
P70,TIE,,I/O,,,,,,,,,,
P71,LOCKE40,I,I/O,INPUT,,,,,,,,,
P72,TA40,O,I/O,OUTPUT,,,,,,,,,
P73,TEA40,O,I/O,OUTPUT,,,,,,,,,
P74,TIE,,I/O,,,,,,,,,,
P75,GND,,GND,,,,,,,,,,
P76,TIE,,I/O,,,,,,,,,,
P77,BGR60,O,I/O,OUTPUT,,,,,,,,,
P78,TIE,,I/O,,,,,,,,,,
P79,TBI40,O,I/O,OUTPUT,,,,,,,,,
P80,TIE,,I/O,,,,,,,,,,
P81,PCLK,O,I/O,OUTPUT,,,,,,,,,
P82,BCLK,O,I/O,OUTPUT,,,,,,,,,
P83,TDO,,TDO,,,,,,,,,,
P84,GND,,GND,,,,,,,,,,
P85,IPL40<1>,O,I/O,OUTPUT,,,,,,,,,
P86,RSTI40,O,I/O,OUTPUT,,,,,,,,,
P87,MDIS40,O,I/O,OUTPUT,,,,,,,,,
P88,VCC,,VCCIO,,,,,,,,,,
P89,IPL40<0>,O,I/O,OUTPUT,,,,,,,,,
P90,IPL40<2>,O,I/O,OUTPUT,,,,,,,,,
P91,CDIS40,O,I/O,OUTPUT,,,,,,,,,
P92,CPU40_60,I,I/O,INPUT,,,,,,,,,
P93,A_OE,O,I/O,OUTPUT,,,,,,,,,
P94,RSTO40,I,I/O,INPUT,,,,,,,,,
P95,TIE,,I/O,,,,,,,,,,
P96,TT40<0>,I,I/O,INPUT,,,,,,,,,
P97,TT40<1>,I,I/O,INPUT,,,,,,,,,
P98,VCC,,VCCINT,,,,,,,,,,
P99,RESET30,I/O,I/O/GSR,BIDIR,,,,,,,,,
P100,GND,,GND,,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


